tokens read: 736 (442 winners, 294 dumps), 69 skipped for exceeding 40 signature pages
sources: {'record': 728, 'gecko': 8}
early buys parsed: 37582 by 22772 wallets
wallets early in 3+ distinct winners: 811; selection of a wallet that buys everything: 0.601

graded: 160 of 811 nominees
bar: tokens >= 20, hit >= 10.0%, hold >= 5.0 min, honest >= +10.0%

wallet     wins dumps   sel tokens  hit%  win%   real%  honest% hold_m   /day buy_sol  days     h1%     h2% pass
9gNUBD6Rgm    5     0  1.00     28  17.9  33.3    +1.3     -4.1   13.8   49.8   1.044  0.56    -4.7    -3.6 -
7NgvqZjmS2    5     0  1.00      9  55.6  40.0    -0.8     -3.6    7.4   94.6   1.714  0.10    -1.9    -7.2 -
8dtx2tr4Tu    5     0  1.00    352   1.4  30.0    +3.2     +2.9    0.5  364.8   0.580  0.96    +4.5    +0.2 -
DEZztjkMZL    5     0  1.00     17  29.4  14.3    +1.3     -2.4    1.6  170.2   2.690  0.10    -1.3    -2.8 -
49uohdddbm    5     0  1.00    209   2.4  37.3    -0.5     -0.5    1.7  181.2   0.503  1.15    -1.4    +0.7 -
E418ruAsgQ    5     0  1.00    404   1.2  27.9    +0.2     -0.1    0.8  880.8   0.156  0.46    -1.9    +1.5 -
7ee6nQZMBg    5     0  1.00     15  33.3   0.0    +0.0   -100.0    0.0   17.4   0.121  0.86  -100.0  -100.0 -
5twJ4TMozk    5     1  0.83      6  83.3   0.0    +0.1     -2.6    2.2   35.6   2.601  0.17    -3.1    -2.9 -
4suL6sgqS4    5     1  0.83     13  38.5  57.1    +0.5     -1.1   10.5   69.5   1.753  0.19    -0.5    -1.9 -
BqSK3oa2bG    5     1  0.83      9  55.6  57.1    +0.6     +0.2   11.5   83.5   2.102  0.11    +1.7    +0.2 -
EPYJeHsqKC    5     1  0.83    146   3.4  36.4    +0.5     -6.8    7.0   34.6   0.002  4.22    -6.5  -100.0 -
BXE7AMyA3N    5     1  0.83     10  50.0  50.0    +0.5     -1.5   11.3   53.4   1.746  0.19    -1.5    -1.4 -
FH3PFYLWQF    5     1  0.83     17  29.4  20.0    -0.4     -1.5   11.6   84.6   1.220  0.20    -1.2    -1.8 -
EDXNXwVMXw    5     1  0.83     26  19.2 100.0    -0.6     -5.5    2.5   84.6   0.695  0.31    -5.9    -5.1 -
FNpyU9nvLy    5     1  0.83      3 166.7   0.0    +0.0   -100.0    0.0   21.7   0.047  0.14  -100.0  -100.0 -
6htCwqMHQ7    5     1  0.83     21  23.8  57.1    +0.6     -3.2    9.5   85.5   1.194  0.25    -3.8    -3.1 -
EzqzT8AGN8    5     1  0.83     17  29.4 100.0    +0.5     -3.9    0.0  167.4   2.214  0.10    -6.4    -2.1 -
HpyPCtGzVy    5     1  0.83     32  15.6  50.0    -0.5     -6.5    0.2   82.7   0.634  0.39    -7.3    -5.1 -
DuJh5jkWrz    5     1  0.83      3 166.7   0.0    +0.0   -100.0    0.0   21.5   0.051  0.14  -100.0  -100.0 -
Dp3cuAhnkY    5     1  0.83     11  45.5  50.0    +1.0     -1.9   47.1   39.7   1.919  0.28    -3.9    -1.6 -
At5vXmVsR3    5     1  0.83     12  41.7 100.0    -0.2     -4.5    0.1   78.0   1.541  0.15    -3.5    -6.0 -
4sMz3xxNXd    5     1  0.83     15  33.3  62.5    +0.0     -0.8   13.9   72.1   1.700  0.21    -2.0    -0.6 -
8wg8aU4vDt    5     1  0.83     53   9.4  26.7    -0.5     -5.8    1.6   79.4   0.572  0.67    -5.5    -6.1 -
52RVsqDyyB    5     1  0.83      3 166.7   0.0    +0.0   -100.0    0.0   21.7   0.051  0.14  -100.0  -100.0 -
DSTzpD4JND    5     2  0.71     19  26.3  75.0    +0.8     -0.8    3.9   81.5   3.292  0.23    -1.8    +0.8 -
5KeUcivVXR    5     2  0.71     12  41.7   0.0    +0.0   -100.0    0.0   56.2   0.086  0.21  -100.0  -100.0 -
62he7zJRZ8    5     2  0.71     16  31.2  66.7    -0.4     -2.6    5.4   71.1   3.058  0.23    -3.5    -2.5 -
7v1joVB4qm    5     2  0.71     10  50.0   0.0    -5.3    -91.9    0.0   73.0   0.062  0.14  -100.0   -85.6 -
HiBti2DjvG    5     2  0.71     19  26.3  54.5    -0.7     -3.1    3.2   91.2   2.894  0.21    -3.5    -2.8 -
BUBBLEtr8B    5     2  0.71    389   1.3  31.7    +1.1     +0.9    0.4 1463.8   0.103  0.27    +4.4    -2.4 -
AQdxHxEwSk    5     3  0.62     15  33.3   0.0    -5.0    -92.6    0.0   65.1   0.053  0.23  -100.0   -91.6 -
2TtJcWjYfz    5     3  0.62    375   1.3   0.0   -95.2    -95.2    0.0 2343.8   0.016  0.16   -95.0   -95.4 -
