mint,arm,entry_ts,ret,label,m5_buys,vol_m5_usd,pages,sig_n,sig_fail_share,slot_max_share,slot_dense_share,iat_cv,parsed_n,swap_n,buy_n,uniq_buyer_ratio,top_buyer_share,size_cv,size_dup_share,median_sol,wallets_checked,fresh_wallet_share,note
7aFGQ7fDuHFcATwGGivdebcLsFkSi1b9emk2dGsxpump,wait120,1788415488.0,2.1091,pump,364.0,32728.45,19,14610,0.859,0.0443,0.9906,1.0412,40,4,3,1.0,0.3333,0.4789,0.0,0.14,3,0.0,
7J6KZSPbZ9h76KPLeTXCdkd1DNGhoQn7eg4Yb9R1MP7u,surge,1788415882.0,-1.0,dump,1325.0,215272.79,9,2687,0.2959,0.0048,0.4459,0.1603,40,40,29,0.9655,0.069,1.4799,0.5517,0.002537,8,0.0,
FpaZpZ8T65QQTCh8uXfjsQeiZQwH4dQ1y3kCKbKo8ABu,launchctl,1788417279.0,3.2126,pump,529.0,16510.59,6,2573,0.3136,0.0567,0.7159,1.2947,40,40,19,0.8947,0.1053,0.6623,0.0,0.127322,8,0.0,
93ccbEiSWcnmcqHhHERkeH9gUmd4QssAWLUwsPzmwGJw,launchctl,1788419151.0,-0.9005,dump,647.0,16439.8,3,1615,0.2978,0.0316,0.6799,1.3066,40,40,16,1.0,0.0625,0.5364,0.0,0.144319,8,0.0,
8kMCPfEUyEhwVjxBfrRpVZstEUZNeUgLZvVRp7qDDAhB,surge,1788419356.0,1.6103999999999998,pump,338.0,14586.6,10,723,0.1079,0.0055,0.0221,1.0189,40,40,30,1.0,0.0333,2.6887,0.8667,0.002109,8,0.0,
A61pqr19MhEd8zKuKKWGodFTHuPVkFTtzZ6N2WJZpump,surge,1788419356.0,-0.99505,dump,2090.0,45187.39,22,2362,0.0076,0.0157,0.9687,0.6147,40,40,25,1.0,0.04,3.3554,0.92,0.0023,8,0.0,
2QSCcnu3JRtsP8cJygAnaiARiCmeu7uVFxR8YVH2AeKF,launchctl,1788419799.0,-0.99875,dump,644.0,18262.75,7,507,0.2032,0.0118,0.0513,2.4484,40,40,30,0.9333,0.1,1.94,0.6667,0.002123,8,0.0,
BPdAEQ5bNK32eDxVieV2jedBa8DKKEoqQGBDRiRsdwNi,surgeliq,1788420149.0,2.3975,pump,315.0,3910.15,8,321,0.0561,0.0093,0.0,2.9173,40,40,34,1.0,0.0294,5.5659,0.8824,0.00211,8,0.0,
ELksuENUXvpt1JtUVSWCq54cPzgJs8A767TcKkTn1E4Z,wait120,1788420615.0,-1.0,dump,388.0,14449.8,5,2496,0.3285,0.0084,0.726,1.8935,40,39,19,0.9474,0.1053,0.7894,0.1053,0.137182,8,0.0,
ELUkiQztnvT7LDYPJqtsUzzyDTMBjk3CFiHeBtMvucu3,liqctl,1788420615.0,3.4930000000000003,pump,1047.0,343310.39,40,2000,0.3085,0.0155,0.772,1.0257,40,40,24,0.875,0.0833,1.2827,0.2917,0.132157,8,0.0,
ATBuR85ncnsxAwSciF6aCTWfq4aNQLptjyXqG3vRXVgR,liqctl,1788420955.0,1.6017000000000001,pump,1486.0,126207.2,15,3681,0.3208,0.0049,0.7107,0.2061,40,40,28,1.0,0.0357,1.6254,0.6071,0.002328,8,0.0,
EmW8YPvjJfuxh1KKQFoWQAXsZavBxsWzERDrzrtDLttd,launchctl,1788421501.0,-0.99995,dump,387.0,14845.38,4,1487,0.349,0.0403,0.7364,2.3702,40,40,25,1.0,0.04,0.8164,0.08,0.122405,8,0.0,
D2zV1eDsM4UfTY8NBWuX4KQHreVmjQCt3CPAX7sSMvce,surge,1788423338.0,1.2445499999999998,pump,539.0,1821.01,9,728,0.0,0.0041,0.0,0.3404,40,40,35,1.0,0.0286,2.6452,0.9429,0.002105,8,0.0,
Eh5ah3wCHKaTKdSLs3723V6kopDrCWtnq6vVMT3FMaA,liqctl,1788423338.0,1.1742499999999998,pump,570.0,269206.83,17,1319,0.3086,0.0038,0.1259,0.4518,40,40,29,0.7931,0.1034,1.4293,0.3103,0.080193,8,0.0,
3dkR8w3bwoniRVMJxjXKj7x76tzURxSzksJoZwcqb8oY,launchctl,1788424096.0,1.5409000000000002,pump,332.0,18533.33,7,256,0.1289,0.0273,0.1016,2.4977,40,40,21,1.0,0.0476,1.3607,0.381,0.016247,8,0.125,
FNVvyUz4PaCoPNJubU9ezBZViYNcusJbaaTfaoCnpump,surge,1788424096.0,1.4413999999999998,pump,865.0,13200.08,36,1014,0.0049,0.0266,0.1736,0.9148,40,40,24,0.9583,0.0833,2.546,0.1667,0.035255,8,0.0,
4ACDAMHMV253AW6w3wtHGvSeoiWQRHjTkjbSYodFrKCr,surge,1788424096.0,-1.0,dump,474.0,3362.44,2,353,0.0057,0.0142,0.0963,0.4988,40,40,34,1.0,0.0294,1.2819,0.5882,0.002069,8,0.0,
43uJZGxfZcsiL29k1vpwd7H6up5qgMAoU1aMb5Rmpump,wait120,1788425093.0,2.3683,pump,1339.0,119814.11,40,0,,,,,,,,,,,,,,,window beyond page cap
